Neutral mass,MZ,Adduct,Mass defect,Formula,HMDB_ID/RefMet name,Origin
513.00631,511.99903,M-H,0.99903,C9H18N5O14P3,HMDB06821,Endogenous
513.00631,511.99903,M-H,0.99903,C9H18N5O14P3,HMDB06823,Endogenous
541.00122,539.99395,M-H,0.99395,C10H18N5O15P3,HMDB06822,Endogenous
789.99383,788.98655,M-H,0.98655,C18H26N4O23P4,HMDB06796,Endogenous
870.00613,868.99885,M-H,0.99885,C20H26N8O23P4,HMDB03834,Endogenous
72.99862,71.99134,M-H,0.99134,C2H3NS,HMDB34106,Food
92.00289,90.99562,M-H,0.99562,C3H5ClO,HMDB34232,Food
108.00674,106.99947,M-H,0.99947,C3H8S2,HMDB32912,Food
120.00674,118.99947,M-H,0.99947,C4H8S2,HMDB33052,Food
120.00674,118.99947,M-H,0.99947,C4H8S2,HMDB36179,Food
120.00674,118.99947,M-H,0.99947,C4H8S2,HMDB40250,Food
120.00674,118.99947,M-H,0.99947,C4H8S2,HMDB41389,Food
120.00674,118.99947,M-H,0.99947,C4H8S2,HMDB41391,Food
132.00674,130.99947,M-H,0.99947,C5H8S2,HMDB39791,Food
132.00674,130.99947,M-H,0.99947,C5H8S2,HMDB39792,Food
132.00674,130.99947,M-H,0.99947,C5H8S2,HMDB39796,Food
133.00199,131.99471,M-H,0.99471,C4H7NS2,HMDB38442,Food
136.00166,134.99438,M-H,0.99438,C4H8OS2,HMDB32744,Food
136.00166,134.99438,M-H,0.99438,C4H8OS2,HMDB32745,Food
136.00166,134.99438,M-H,0.99438,C4H8OS2,HMDB32746,Food
136.00166,134.99438,M-H,0.99438,C4H8OS2,HMDB32747,Food
144.00674,142.99947,M-H,0.99947,C6H8S2,HMDB34901,Food
144.00674,142.99947,M-H,0.99947,C6H8S2,HMDB40259,Food
148.00166,146.99438,M-H,0.99438,C5H8OS2,HMDB39797,Food
148.00166,146.99438,M-H,0.99438,C5H8OS2,HMDB40230,Food
151.99657,150.98929,M-H,0.98929,C4H8O2S2,HMDB33670,Food
151.99657,150.98929,M-H,0.98929,C4H8O2S2,HMDB35716,Food
153.99446,152.98719,M-H,0.98719,C4H10S3,HMDB33047,Food
153.99446,152.98719,M-H,0.98719,C4H10S3,HMDB39524,Food
153.99446,152.98719,M-H,0.98719,C4H10S3,HMDB40239,Food
156.00674,154.99947,M-H,0.99947,C7H8S2,HMDB40939,Food
160.00166,158.99438,M-H,0.99438,C6H8OS2,HMDB36807,Food
160.00166,158.99438,M-H,0.99438,C6H8OS2,HMDB40199,Food
162.99393,161.98665,M-H,0.98665,C4H5NO4S,HMDB33585,Food
177.9975,176.99022,M-H,0.99022,C5H11AsO2,HMDB33206,Food
184.00503,182.99775,M-H,0.99775,C5H12OS3,HMDB33075,Food
199.00362,197.99634,M-H,0.99634,C8H6ClNO3,HMDB32846,Food
199.9957,198.98843,M-H,0.98843,C7H4O7,HMDB33695,Food
225.99446,224.98719,M-H,0.98719,C10H10S3,HMDB32982,Food
228.00272,226.99544,M-H,0.99544,C8H8N2O2S2,HMDB34228,Food
232.00416,230.99688,M-H,0.99688,C8H8O6S,HMDB41646,Food
232.00416,230.99688,M-H,0.99688,C8H8O6S,HMDB41789,Food
247.99907,246.9918,M-H,0.9918,C8H8O7S,HMDB41788,Food
259.99907,258.9918,M-H,0.9918,C9H8O7S,HMDB41706,Food
259.99907,258.9918,M-H,0.9918,C9H8O7S,HMDB41708,Food
290.00714,288.99986,M-H,0.99986,C14H10O3S2,HMDB38459,Food
334.00074,332.99346,M-H,0.99346,C11H12O8P2,HMDB32721,Food
360.99648,359.98921,M-H,0.98921,C14H7ClF3NO5,HMDB37112,Food
366.00455,364.99728,M-H,0.99728,C15H10O9S,HMDB38471,Food
366.00455,364.99728,M-H,0.99728,C15H10O9S,HMDB38472,Food
379.99668,378.9894,M-H,0.9894,C16H10Cl2N2O5,HMDB37985,Food
381.99947,380.99219,M-H,0.99219,C15H10O10S,HMDB37597,Food
381.99947,380.99219,M-H,0.99219,C15H10O10S,HMDB41770,Food
417.00653,415.99925,M-H,0.99925,C14H13Cl2N5O4S,HMDB34850,Food
481.71522,480.70794,M-H,0.70794,C12H6Br4O,HMDB37520,Food
481.71522,480.70794,M-H,0.70794,C12H6Br4O,HMDB37547,Food
601.99688,600.98961,M-H,0.98961,C28H10O16,HMDB38386,Food
778.99678,777.98951,M-H,0.98951,C28H21N5O14S4,HMDB33389,Food
302.00627,300.99899,M-H,0.99899,C14H6O8,HMDB02899,Plant
46.0055,44.99823,M-H,0.99823,CH2O2,Formic acid,RefMet
58.0055,56.99823,M-H,0.99823,C2H2O2,Glyoxal,RefMet
77.9872,76.97993,M-H,0.97993,C2H3ClO,Chloroacetaldehyde,RefMet
89.9953,88.98803,M-H,0.98803,C2H2O4,Oxalic acid,RefMet
97.9769,96.96963,M-H,0.96963,PH3O4,Phosphoric acid,RefMet
110.0038,108.99653,M-H,0.99653,C2H6O3S,Methyl methanesulfonate,RefMet
111.983,110.97573,M-H,0.97573,CH4O4S,Methyl sulfate,RefMet
111.9925,110.98523,M-H,0.98523,CH5O4P,Methanolphosphate,RefMet
113.9953,112.98803,M-H,0.98803,C4H2O4,Acetylenedicarboxylate,RefMet
117.9269,116.91963,M-H,0.91963,C6H13O9P,Inositol-4-monophosphate,RefMet
123.9506,122.94333,M-H,0.94333,CH5AsO2,Methylarsonite,RefMet
123.983,122.97573,M-H,0.97573,C2H4O4S,Sulfoacetaldehyde,RefMet
124.0017,122.99443,M-H,0.99443,C3H8OS2,Dimercaprol,RefMet
128.0029,126.99563,M-H,0.99563,C6H5ClO,4-chlorophenol,RefMet
140.0029,138.99563,M-H,0.99563,C7H5ClO,4-Chlorobenzaldehyde,RefMet
140.97753,139.97026,M-H,0.97026,C2H6O3PS,Dimethylthiophosphate,RefMet
154.0031,152.99583,M-H,0.99583,C3H7O5P,Hydroxyacetone phosphate,RefMet
157.96251,156.95524,M-H,0.95524,C2H7O2PS2,Dimethyldithiophosphate,RefMet
160.9799,159.97263,M-H,0.97263,C6H5Cl2N,"3,4-dichloroaniline",RefMet
